//  command   cancel ani guage tobi check  
// 80          D 00001101  50    0  0 0 0 // 投げ
//  5        2+D 00000101 00000001  150   0  0 0 0  // ３ゲージ
// 5        6216C 10000101 00000001   112   0      2 0 0  // コマンド投げ
 4      21421C 20000101 00000001  137   65535  1  0 0  // 双子乱舞
 5      16213C 20000101 00000001  176   10000  0 31 0  // ﾄﾞﾗｯｸﾞｵﾝｲﾝｽﾄｰﾙ
test = 235, 236

//優先順位  ｺﾏﾝﾄﾞ 発動状態 ｱﾆﾒNo 消費ｹﾞｰｼﾞ ｶｳﾝﾀｰ時間 飛び道具制限 空中ﾀﾞｯｼｭ制限
//
//
// 行動可能状態 (cancel部)
//    <- bit7  bit0 ->
//        00000000
//
// bit0 ---- 地上で出るか 0-出ない 1-出る
// bit1 ---- 空中で出るか 0-出ない 1-出る
// bit2 ---- 屈みで出るか 0-出ない 1-出る
// bit3 ---- キャンセルできない技か（最優先） 0-できる 1-できない
// bit4 ---- 発動時にコマンドバッファをリセットするか 0-しない 1-する
// bit5 ---- 追加入力専用コマンドにするか 0-しない 1-する
// bit6 ---- ガードキャンセル 0-できない 1-できる
// bit7 ---- コマンドの属性 0-通常技扱い 1-必殺技扱い
//

[ThrowParam]
Ground = 64,0
Air = 271,0

[ShieldCounter]
Ground = 405
Crouch = 405
Air = 407


[Status]
AirJumpNum = 1
Guard = 0.9, 0.9, 1.0, 0.9

CancelSparkPat_Ground = 0 // 基本０
CancelSparkPat_Air = 266 // ０だと不可

KoRareVoice = 98
TagHeart = 5
